Transaction_number,1,2,3,4,5,6,7,8,9
1904,whole milk,margarine,pot plants,,,,,,
1905,pork,tropical fruit,whole milk,rolls/buns,margarine,,,,
1906,sausage,meat,turkey,citrus fruit,tropical fruit,pip fruit,root vegetables,onions,herbs
1907,curd,yogurt,frozen vegetables,,,,,,
1908,canned beer,,,,,,,,
1909,napkins,,,,,,,,
1910,chewing gum,,,,,,,,
1911,ice cream,,,,,,,,
1912,bottled water,,,,,,,,
1913,liver loaf,pork,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,curd,dessert
1914,citrus fruit,tropical fruit,root vegetables,herbs,other vegetables,whole milk,yogurt,bottled water,bottled beer
1915,chicken,citrus fruit,yogurt,whipped/sour cream,spread cheese,margarine,softener,,
1916,citrus fruit,whole milk,sliced cheese,rolls/buns,pastry,roll products ,coffee,bottled water,soda
1917,bottled water,liquor (appetizer),specialty bar,,,,,,
1918,pip fruit,berries,root vegetables,other vegetables,whole milk,whipped/sour cream,,,
1919,whole milk,curd,yogurt,frozen vegetables,margarine,ketchup,cereals,canned fish,soda
1920,hamburger meat,whole milk,curd,dessert,,,,,
1921,turkey,hamburger meat,root vegetables,other vegetables,whole milk,yogurt,hard cheese,cereals,long life bakery product
1922,ham,beef,tropical fruit,pip fruit,other vegetables,whole milk,dessert,yogurt,whipped/sour cream
1923,citrus fruit,pip fruit,other vegetables,canned vegetables,,,,,
1924,sausage,other vegetables,dessert,domestic eggs,pastry,napkins,,,
1925,yogurt,,,,,,,,
1926,butter,,,,,,,,
1927,chicken,hamburger meat,whole milk,rolls/buns,flour,margarine,coffee,canned beer,hygiene articles
1928,beverages,rolls/buns,long life bakery product,shopping bags,,,,,
1929,onions,bottled water,soda,canned beer,chewing gum,male cosmetics,napkins,cling film/bags,
1930,bottled beer,,,,,,,,
1931,butter,pastry,semi-finished bread,white wine,detergent,,,,
1932,root vegetables,butter,pot plants,,,,,,
1933,sausage,ham,meat,pork,tropical fruit,pip fruit,grapes,other vegetables,whole milk
1934,ham,whole milk,spread cheese,rolls/buns,waffles,newspapers,,,
1935,soda,canned beer,,,,,,,
1936,chicken,tropical fruit,whole milk,pastry,soda,long life bakery product,waffles,chocolate,
1937,sausage,pip fruit,whole milk,rolls/buns,flour,oil,soda,,
1938,other vegetables,soda,,,,,,,
1939,whole milk,bottled beer,,,,,,,
1940,root vegetables,,,,,,,,
1941,chicken,other vegetables,whole milk,,,,,,
1942,tropical fruit,pip fruit,whole milk,curd,yogurt,frozen vegetables,frozen meals,white bread,instant coffee
1943,pork,root vegetables,brown bread,soda,bottled beer,,,,
1944,tropical fruit,pip fruit,root vegetables,whole milk,yogurt,beverages,domestic eggs,white bread,sweet spreads
1945,chicken,napkins,,,,,,,
1946,other vegetables,curd,pastry,Instant food products,salty snack,cake bar,chewing gum,napkins,
1947,whipped/sour cream,female sanitary products,,,,,,,
1948,whole milk,whipped/sour cream,,,,,,,
1949,root vegetables,other vegetables,whole milk,bottled water,bottled beer,,,,
1950,sausage,berries,whole milk,yogurt,domestic eggs,,,,
1951,frozen vegetables,,,,,,,,
1952,beef,whole milk,butter,rolls/buns,cat food,bottled beer,,,
1953,root vegetables,whole milk,yogurt,,,,,,
1954,rolls/buns,brown bread,bottled water,,,,,,
1955,canned beer,specialty chocolate,,,,,,,
1956,sweet spreads,coffee,chocolate,seasonal products,,,,,
1957,beef,pot plants,,,,,,,
1958,frozen vegetables,frozen meals,,,,,,,
1959,bottled water,specialty chocolate,,,,,,,
1960,domestic eggs,,,,,,,,
1961,ice cream,sugar,napkins,dishes,,,,,
1962,ice cream,roll products ,Instant food products,coffee,candles,,,,
1963,butter,whipped/sour cream,brown bread,pastry,canned vegetables,fruit/vegetable juice,long life bakery product,,
1964,sausage,,,,,,,,
1965,ham,tropical fruit,specialty cheese,long life bakery product,hygiene articles,newspapers,,,
1966,citrus fruit,pip fruit,other vegetables,whole milk,butter,cream cheese ,domestic eggs,vinegar,fruit/vegetable juice
1967,red/blush wine,,,,,,,,
1968,butter,margarine,,,,,,,
1969,whole milk,bottled water,fruit/vegetable juice,,,,,,
1970,hard cheese,newspapers,,,,,,,
1971,hygiene articles,,,,,,,,
1972,soups,soda,shopping bags,,,,,,
1973,pastry,soda,,,,,,,
1974,onions,rolls/buns,,,,,,,
1975,ice cream,soda,fruit/vegetable juice,,,,,,
1976,herbs,,,,,,,,
1977,citrus fruit,pip fruit,curd,artif. sweetener,dog food,coffee,,,
1978,white bread,soda,bottled beer,,,,,,
1979,pip fruit,root vegetables,sugar,coffee,bottled beer,,,,
1980,misc. beverages,cake bar,,,,,,,
1981,ice cream,soda,bottled beer,salty snack,,,,,
1982,pot plants,,,,,,,,
1983,beef,tropical fruit,frozen vegetables,pickled vegetables,bottled water,soda,,,
1984,canned beer,,,,,,,,
1985,cat food,chocolate,specialty chocolate,,,,,,
1986,whipped/sour cream,,,,,,,,
1987,shopping bags,,,,,,,,
1988,berries,other vegetables,yogurt,,,,,,
1989,whole milk,pot plants,,,,,,,
1990,root vegetables,domestic eggs,,,,,,,
1991,pork,pip fruit,other vegetables,whole milk,yogurt,ketchup,pickled vegetables,soda,detergent
1992,sausage,pork,fish,citrus fruit,berries,whipped/sour cream,soda,fruit/vegetable juice,bathroom cleaner
1993,bottled water,,,,,,,,
1994,ice cream,bottled water,,,,,,,
1995,berries,root vegetables,whole milk,dessert,yogurt,whipped/sour cream,cream cheese ,semi-finished bread,canned fruit
1996,bottled beer,shopping bags,,,,,,,
1997,pork,berries,whole milk,dessert,whipped/sour cream,fruit/vegetable juice,candy,,
1998,ice cream,soda,specialty chocolate,,,,,,
1999,curd,yogurt,waffles,,,,,,
2000,sausage,dessert,soda,,,,,,
2001,rolls/buns,vinegar,bottled beer,,,,,,
2002,other vegetables,domestic eggs,soda,,,,,,
2003,other vegetables,pastry,,,,,,,
2004,root vegetables,canned vegetables,soda,shopping bags,,,,,
2005,other vegetables,whole milk,butter,yogurt,cream cheese ,vinegar,pet care,fruit/vegetable juice,cling film/bags
2006,pastry,salty snack,,,,,,,
2007,other vegetables,brown bread,soda,,,,,,
2008,other vegetables,frozen vegetables,pastry,specialty bar,,,,,
2009,citrus fruit,tropical fruit,whole milk,domestic eggs,pastry,bottled water,salty snack,,
2010,white bread,,,,,,,,
2011,citrus fruit,berries,onions,other vegetables,condensed milk,soft cheese,oil,pickled vegetables,specialty vegetables
2012,whole milk,,,,,,,,
2013,chocolate,pot plants,,,,,,,
2014,citrus fruit,other vegetables,frozen meals,rice,canned beer,salty snack,,,
2015,other vegetables,yogurt,fruit/vegetable juice,shopping bags,,,,,
2016,sausage,chicken,beef,pip fruit,root vegetables,onions,yogurt,soft cheese,mayonnaise
2017,root vegetables,frozen meals,white bread,snack products,hygiene articles,,,,
2018,sausage,chicken,pip fruit,berries,other vegetables,dessert,yogurt,frozen vegetables,frozen meals
2019,pip fruit,vinegar,bottled water,shopping bags,,,,,
2020,tropical fruit,berries,yogurt,domestic eggs,brown bread,soda,candy,,
2021,pork,other vegetables,whipped/sour cream,,,,,,
2022,whole milk,yogurt,cream cheese ,oil,pickled vegetables,cat food,misc. beverages,long life bakery product,chocolate
2023,mustard,soda,fruit/vegetable juice,,,,,,
2024,citrus fruit,white bread,ketchup,fruit/vegetable juice,bottled beer,salty snack,popcorn,shopping bags,
2025,whole milk,margarine,bottled water,,,,,,
2026,root vegetables,curd,dessert,whipped/sour cream,pastry,sauces,coffee,soda,fruit/vegetable juice
2027,citrus fruit,tropical fruit,other vegetables,,,,,,
2028,UHT-milk,,,,,,,,
2029,soda,,,,,,,,
2030,tropical fruit,bottled beer,,,,,,,
2031,shopping bags,,,,,,,,
2032,bottled beer,,,,,,,,
2033,beef,grapes,fruit/vegetable juice,,,,,,
2034,pip fruit,sugar,,,,,,,
2035,root vegetables,onions,other vegetables,yogurt,frozen meals,vinegar,canned vegetables,soda,salty snack
2036,chicken,beef,citrus fruit,whole milk,cream cheese ,domestic eggs,rolls/buns,canned beer,napkins
2037,bottled water,,,,,,,,
2038,flour,,,,,,,,
2039,pip fruit,domestic eggs,,,,,,,
2040,whole milk,pastry,fruit/vegetable juice,canned beer,specialty chocolate,,,,
2041,frankfurter,whole milk,bottled water,specialty chocolate,candy,,,,
2042,canned beer,,,,,,,,
2043,whole milk,cream cheese ,oil,bottled water,fruit/vegetable juice,pot plants,,,
2044,canned beer,,,,,,,,
2045,butter milk,specialty chocolate,,,,,,,
2046,margarine,,,,,,,,
2047,whole milk,,,,,,,,
2048,whole milk,ice cream,pastry,coffee,shopping bags,,,,
2049,canned beer,liquor,,,,,,,
2050,salty snack,,,,,,,,
2051,root vegetables,onions,whipped/sour cream,UHT-milk,frozen dessert,margarine,syrup,,
2052,sausage,citrus fruit,other vegetables,dessert,yogurt,whipped/sour cream,hard cheese,curd cheese,white bread
2053,brown bread,,,,,,,,
2054,other vegetables,dessert,waffles,light bulbs,,,,,
2055,sausage,ham,chicken,other vegetables,whole milk,butter,whipped/sour cream,cream cheese ,
2056,ham,other vegetables,whole milk,frozen vegetables,,,,,
2057,domestic eggs,cat food,bottled water,,,,,,
2058,sausage,pip fruit,onions,spices,cat food,bottled beer,newspapers,,
2059,root vegetables,yogurt,fruit/vegetable juice,,,,,,
2060,other vegetables,yogurt,,,,,,,
2061,citrus fruit,whole milk,specialty bar,dish cleaner,cling film/bags,,,,
2062,pork,frozen potato products,soda,,,,,,
2063,onions,dessert,yogurt,domestic eggs,rolls/buns,brown bread,pastry,cat food,bottled water
2064,other vegetables,whole milk,yogurt,spices,,,,,
2065,chicken,pork,beef,berries,sliced cheese,jam,shopping bags,,
2066,pip fruit,margarine,,,,,,,
2067,berries,chewing gum,seasonal products,newspapers,,,,,
2068,whole milk,specialty bar,,,,,,,
2069,chicken,canned beer,shopping bags,,,,,,
2070,pork,onions,pastry,potato products,bottled water,,,,
2071,whole milk,specialty fat,soda,,,,,,
2072,pork,tropical fruit,berries,whole milk,yogurt,white bread,oil,,
2073,cat food,chocolate,,,,,,,
2074,finished products,citrus fruit,yogurt,pastry,soda,waffles,shopping bags,,
2075,brown bread,margarine,long life bakery product,flower (seeds),,,,,
2076,berries,dessert,whipped/sour cream,bottled water,soda,fruit/vegetable juice,white wine,,
2077,ham,whole milk,domestic eggs,pastry,oil,baking powder,chewing gum,chocolate marshmallow,
2078,fish,brown bread,pet care,napkins,,,,,
2079,pastry,canned beer,shopping bags,,,,,,
2080,sausage,pastry,,,,,,,
2081,whole milk,yogurt,spread cheese,semi-finished bread,baking powder,soda,cake bar,chocolate,specialty bar
2082,bottled beer,,,,,,,,
2083,whole milk,brown bread,,,,,,,
2084,sausage,root vegetables,white bread,roll products ,semi-finished bread,soda,napkins,,
2085,soda,chocolate,chocolate marshmallow,,,,,,
2086,ham,whole milk,dessert,processed cheese,bottled water,soda,fruit/vegetable juice,chocolate,
2087,bottled beer,canned beer,,,,,,,
2088,sausage,ham,whole milk,dessert,margarine,baking powder,bottled water,,
2089,sausage,chicken,other vegetables,whole milk,yogurt,cream cheese ,brown bread,soda,
2090,sausage,root vegetables,other vegetables,dessert,yogurt,whipped/sour cream,sliced cheese,domestic eggs,white bread
2091,sausage,rolls/buns,white wine,,,,,,
2092,pork,,,,,,,,
2093,root vegetables,yogurt,beverages,domestic eggs,white bread,cat food,,,
2094,citrus fruit,whole milk,baking powder,cocoa drinks,skin care,shopping bags,,,
2095,other vegetables,,,,,,,,
2096,whole milk,soda,,,,,,,
2097,yogurt,ice cream,white bread,sweet spreads,shopping bags,,,,
2098,UHT-milk,mayonnaise,rolls/buns,pickled vegetables,soda,hygiene articles,shopping bags,,
2099,citrus fruit,tropical fruit,pip fruit,other vegetables,rolls/buns,misc. beverages,fruit/vegetable juice,,
2100,citrus fruit,pip fruit,whole milk,bottled water,,,,,
2101,whole milk,butter milk,whipped/sour cream,ice cream,brown bread,specialty chocolate,candy,dish cleaner,
2102,canned beer,,,,,,,,
2103,rolls/buns,sugar,sweet spreads,chewing gum,newspapers,,,,
2104,sausage,rolls/buns,soda,,,,,,
2105,frozen fish,bottled beer,,,,,,,
2106,other vegetables,whole milk,baking powder,coffee,flower (seeds),,,,
2107,rolls/buns,soda,,,,,,,
2108,tropical fruit,other vegetables,whole milk,frozen vegetables,pastry,cake bar,,,
2109,butter milk,hard cheese,,,,,,,
2110,sausage,butter milk,soft cheese,rolls/buns,instant coffee,shopping bags,,,
2111,pastry,soda,,,,,,,
2112,spread cheese,fruit/vegetable juice,,,,,,,
2113,rolls/buns,sweet spreads,canned fish,chewing gum,newspapers,,,,
2114,frankfurter,onions,candy,detergent,,,,,
2115,frankfurter,pip fruit,newspapers,,,,,,
2116,condensed milk,pastry,coffee,soda,red/blush wine,salty snack,nut snack,long life bakery product,waffles
2117,rolls/buns,canned beer,,,,,,,
2118,frankfurter,whole milk,brown bread,cake bar,specialty bar,shopping bags,,,
2119,rolls/buns,bottled beer,,,,,,,
2120,rolls/buns,white bread,dish cleaner,shopping bags,,,,,
2121,other vegetables,whole milk,soda,chocolate,,,,,
2122,sausage,tropical fruit,other vegetables,whole milk,yogurt,coffee,shopping bags,,
2123,coffee,,,,,,,,
2124,pip fruit,other vegetables,whole milk,yogurt,beverages,frozen potato products,rolls/buns,fruit/vegetable juice,
2125,citrus fruit,pip fruit,,,,,,,
2126,flour,bottled water,chocolate,specialty chocolate,,,,,
2127,frankfurter,rolls/buns,,,,,,,
2128,soda,,,,,,,,
2129,soda,,,,,,,,
2130,root vegetables,,,,,,,,
2131,pork,whole milk,rolls/buns,artif. sweetener,baking powder,specialty chocolate,house keeping products,newspapers,
2132,frozen vegetables,rolls/buns,pastry,,,,,,
2133,tropical fruit,other vegetables,whole milk,frozen meals,,,,,
2134,citrus fruit,whole milk,whipped/sour cream,rolls/buns,pastry,,,,
2135,frankfurter,beef,other vegetables,rolls/buns,,,,,
2136,other vegetables,whole milk,rolls/buns,vinegar,margarine,soda,waffles,,
2137,sweet spreads,cat food,,,,,,,
2138,frankfurter,sausage,other vegetables,domestic eggs,ketchup,canned fish,soda,long life bakery product,shopping bags
2139,pork,beef,other vegetables,hard cheese,cream cheese ,rolls/buns,brown bread,napkins,
2140,sausage,ham,finished products,frozen meals,salty snack,long life bakery product,waffles,shopping bags,
2141,pip fruit,soda,,,,,,,
2142,bottled beer,canned beer,,,,,,,
2143,beverages,,,,,,,,
2144,liver loaf,whole milk,yogurt,,,,,,
2145,frankfurter,onions,soft cheese,white bread,pastry,salt,chocolate,newspapers,shopping bags
2146,berries,onions,whipped/sour cream,brown bread,pasta,liquor,dishes,,
2147,curd,tidbits,soda,,,,,,
2148,sausage,whole milk,bottled beer,,,,,,
2149,onions,whole milk,curd,yogurt,hard cheese,domestic eggs,bottled water,cleaner,
2150,soda,,,,,,,,
2151,soda,bottled beer,,,,,,,
2152,chicken,citrus fruit,yogurt,UHT-milk,soft cheese,rolls/buns,margarine,mustard,coffee
2153,cream cheese ,,,,,,,,
2154,bottled water,fruit/vegetable juice,,,,,,,
2155,chocolate,,,,,,,,
2156,cream cheese ,white bread,sweet spreads,cat food,coffee,syrup,specialty bar,,
2157,whole milk,soda,canned beer,liquor (appetizer),newspapers,,,,
2158,whole milk,domestic eggs,rolls/buns,brown bread,specialty chocolate,shopping bags,,,
2159,fruit/vegetable juice,,,,,,,,
2160,onions,spread cheese,,,,,,,
2161,tropical fruit,other vegetables,yogurt,mayonnaise,mustard,newspapers,,,
2162,tropical fruit,grapes,other vegetables,bottled beer,popcorn,,,,
2163,pastry,,,,,,,,
2164,hamburger meat,semi-finished bread,Instant food products,,,,,,
2165,frankfurter,,,,,,,,
2166,tropical fruit,other vegetables,whole milk,curd,frozen dessert,rolls/buns,margarine,jam,
2167,butter,,,,,,,,
2168,rolls/buns,misc. beverages,,,,,,,
2169,sausage,beef,other vegetables,frozen fish,domestic eggs,roll products ,margarine,sugar,baking powder
2170,citrus fruit,tropical fruit,pip fruit,grapes,onions,other vegetables,sliced cheese,cream cheese ,mayonnaise
2171,tropical fruit,other vegetables,,,,,,,
2172,pork,beef,root vegetables,whole milk,pasta,margarine,jam,bottled water,
2173,whole milk,,,,,,,,
2174,hamburger meat,rolls/buns,,,,,,,
2175,frankfurter,frozen potato products,,,,,,,
2176,sausage,beef,citrus fruit,sweet spreads,coffee,,,,
2177,other vegetables,bottled beer,,,,,,,
2178,ham,onions,other vegetables,brown bread,margarine,,,,
2179,bottled beer,,,,,,,,
2180,pip fruit,soda,cake bar,specialty chocolate,,,,,
2181,pasta,vinegar,soda,fruit/vegetable juice,sparkling wine,napkins,,,
2182,pip fruit,nuts/prunes,curd,frozen dessert,sweet spreads,light bulbs,,,
2183,pork,dessert,soda,shopping bags,,,,,
2184,frankfurter,sausage,other vegetables,hard cheese,rolls/buns,,,,
2185,rolls/buns,rum,,,,,,,
2186,sausage,meat,other vegetables,curd,sliced cheese,domestic eggs,rolls/buns,pastry,cat food
2187,tropical fruit,cream cheese ,chocolate,,,,,,
2188,chicken,hamburger meat,other vegetables,,,,,,
2189,whole milk,yogurt,,,,,,,
2190,ham,,,,,,,,
2191,soda,,,,,,,,
2192,chicken,hamburger meat,other vegetables,,,,,,
2193,canned beer,,,,,,,,
2194,pip fruit,pastry,,,,,,,
2195,tropical fruit,pip fruit,whole milk,cream cheese ,frozen dessert,rolls/buns,bottled water,waffles,napkins
2196,domestic eggs,rolls/buns,,,,,,,
2197,meat,pork,tropical fruit,whole milk,curd,rolls/buns,cat food,bottled water,soda
2198,citrus fruit,male cosmetics,,,,,,,
2199,sausage,citrus fruit,pip fruit,root vegetables,herbs,other vegetables,curd,yogurt,soft cheese
2200,rolls/buns,tea,,,,,,,
2201,light bulbs,,,,,,,,
2202,rolls/buns,newspapers,,,,,,,
2203,meat,tropical fruit,beverages,sweet spreads,shopping bags,,,,
2204,root vegetables,herbs,frozen vegetables,bottled water,shopping bags,,,,
2205,tropical fruit,zwieback,bottled water,,,,,,
2206,citrus fruit,tropical fruit,pip fruit,berries,bottled water,soda,red/blush wine,,
2207,whole milk,beverages,frozen meals,frozen dessert,,,,,
2208,margarine,napkins,,,,,,,
2209,hamburger meat,whole milk,ice cream,domestic eggs,white bread,pastry,margarine,sweet spreads,soda
2210,dessert,rolls/buns,bottled water,specialty bar,,,,,
2211,beef,whipped/sour cream,napkins,,,,,,
2212,other vegetables,beverages,domestic eggs,brown bread,pastry,soda,newspapers,,
2213,tropical fruit,other vegetables,whole milk,mustard,bottled water,,,,
2214,chicken,beef,citrus fruit,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,rolls/buns
2215,brown bread,fruit/vegetable juice,newspapers,shopping bags,,,,,
2216,sausage,hamburger meat,whole milk,pastry,shopping bags,,,,
2217,hamburger meat,whole milk,curd,rolls/buns,Instant food products,hygiene articles,napkins,,
2218,pork,root vegetables,onions,other vegetables,yogurt,domestic eggs,,,
2219,sausage,citrus fruit,tropical fruit,pip fruit,flour,baking powder,,,
2220,soda,,,,,,,,
2221,sweet spreads,soda,waffles,,,,,,
2222,pastry,instant coffee,,,,,,,
2223,other vegetables,whole milk,pastry,flour,margarine,canned fish,long life bakery product,chocolate,
2224,root vegetables,whole milk,yogurt,jam,bottled water,soda,bottled beer,specialty chocolate,hygiene articles
2225,whipped/sour cream,pastry,canned fish,soda,waffles,dish cleaner,napkins,,
2226,whole milk,hard cheese,coffee,,,,,,
2227,whole milk,whipped/sour cream,specialty cheese,domestic eggs,dog food,soda,chewing gum,,
2228,citrus fruit,whole milk,butter,pastry,semi-finished bread,coffee,candy,newspapers,shopping bags
2229,other vegetables,whipped/sour cream,,,,,,,
2230,pork,root vegetables,sliced cheese,frozen vegetables,frozen potato products,mustard,bottled water,fruit/vegetable juice,napkins
2231,pip fruit,onions,whole milk,,,,,,
2232,bottled beer,,,,,,,,
2233,other vegetables,,,,,,,,
2234,whole milk,curd,yogurt,whipped/sour cream,canned vegetables,soda,shopping bags,,
2235,pastry,soda,,,,,,,
2236,sausage,brown bread,meat spreads,canned fish,,,,,
2237,sausage,liver loaf,specialty cheese,soda,,,,,
2238,salty snack,,,,,,,,
2239,dessert,,,,,,,,
2240,pork,hamburger meat,herbs,yogurt,hard cheese,brown bread,sweet spreads,soda,
2241,frankfurter,sausage,tropical fruit,whole milk,frozen fish,white wine,chewing gum,newspapers,
2242,butter,,,,,,,,
2243,other vegetables,white bread,margarine,canned beer,rum,,,,
2244,liver loaf,rolls/buns,soda,,,,,,
2245,frankfurter,sausage,hard cheese,soda,nut snack,shopping bags,,,
2246,whole milk,curd,butter milk,beverages,tidbits,long life bakery product,waffles,dental care,
2247,frankfurter,chicken,brown bread,oil,,,,,
2248,root vegetables,bottled water,bottled beer,,,,,,
2249,soda,,,,,,,,
2250,butter,yogurt,whipped/sour cream,,,,,,
2251,cat food,bottled water,white wine,shopping bags,,,,,
2252,chewing gum,,,,,,,,
2253,berries,root vegetables,whole milk,whipped/sour cream,shopping bags,,,,
2254,other vegetables,,,,,,,,
2255,yogurt,rolls/buns,,,,,,,
2256,tropical fruit,other vegetables,whole milk,fruit/vegetable juice,long life bakery product,shopping bags,,,
2257,whole milk,,,,,,,,
2258,curd,canned beer,waffles,candy,,,,,
2259,whole milk,butter,hard cheese,white wine,,,,,
2260,bottled water,,,,,,,,
2261,soda,chocolate,specialty chocolate,,,,,,
2262,sausage,ham,citrus fruit,other vegetables,butter,hard cheese,curd cheese,domestic eggs,rolls/buns
2263,oil,fruit/vegetable juice,,,,,,,
2264,hamburger meat,whole milk,whipped/sour cream,,,,,,
2265,onions,yogurt,frozen vegetables,,,,,,
2266,pork,cat food,,,,,,,
2267,pip fruit,yogurt,sliced cheese,frozen vegetables,domestic eggs,pickled vegetables,specialty vegetables,female sanitary products,napkins
2268,pork,beef,root vegetables,curd,sliced cheese,soda,canned beer,,
2269,citrus fruit,pip fruit,,,,,,,
2270,yogurt,pastry,,,,,,,
2271,frankfurter,other vegetables,yogurt,beverages,hard cheese,rolls/buns,canned fish,soda,canned beer
2272,frankfurter,ham,pip fruit,domestic eggs,,,,,
2273,brown bread,,,,,,,,
2274,root vegetables,herbs,other vegetables,yogurt,brandy,salty snack,waffles,skin care,shopping bags
2275,dish cleaner,napkins,,,,,,,
2276,yogurt,organic products,shopping bags,,,,,,
2277,sausage,pip fruit,other vegetables,yogurt,mustard,fruit/vegetable juice,shopping bags,,
2278,sauces,specialty chocolate,,,,,,,
2279,brown bread,pastry,pasta,,,,,,
2280,citrus fruit,tropical fruit,whole milk,butter milk,beverages,soda,shopping bags,,
2281,cream cheese ,ice cream,white bread,specialty chocolate,,,,,
2282,beverages,soft cheese,rolls/buns,sugar,misc. beverages,candy,,,
2283,curd,whipped/sour cream,pudding powder,candy,flower (seeds),shopping bags,,,
2284,ice cream,chocolate marshmallow,,,,,,,
2285,hard cheese,soda,,,,,,,
2286,detergent,decalcifier,hygiene articles,,,,,,
2287,bottled water,soda,bottled beer,dental care,,,,,
2288,soda,specialty bar,,,,,,,
2289,pip fruit,other vegetables,whipped/sour cream,oil,,,,,
2290,whole milk,butter milk,yogurt,,,,,,
2291,waffles,,,,,,,,
2292,sausage,other vegetables,dessert,canned vegetables,,,,,
2293,chicken,pip fruit,UHT-milk,bottled water,bottled beer,shopping bags,,,
2294,beverages,rolls/buns,,,,,,,
2295,ice cream,frozen dessert,salty snack,,,,,,
2296,butter,sliced cheese,misc. beverages,fruit/vegetable juice,,,,,
2297,beverages,waffles,,,,,,,
2298,frankfurter,tropical fruit,dessert,rolls/buns,brown bread,seasonal products,flower (seeds),,
2299,detergent,,,,,,,,
2300,sausage,citrus fruit,pip fruit,whole milk,curd,domestic eggs,margarine,newspapers,
2301,chicken,other vegetables,whole milk,cream cheese ,hygiene articles,,,,
2302,yogurt,bottled beer,liquor (appetizer),chewing gum,,,,,
2303,whole milk,yogurt,oil,bottled water,bottled beer,salty snack,specialty chocolate,,
2304,yogurt,bottled water,,,,,,,
2305,whipped/sour cream,,,,,,,,
2306,whole milk,yogurt,hard cheese,rolls/buns,bottled water,,,,
2307,citrus fruit,whole milk,butter milk,yogurt,baking powder,,,,
2308,whole milk,,,,,,,,
2309,citrus fruit,flour,pasta,margarine,sugar,baking powder,soda,,
2310,pork,other vegetables,whole milk,canned fish,coffee,specialty bar,candy,,
2311,beverages,,,,,,,,
2312,UHT-milk,hygiene articles,cling film/bags,newspapers,,,,,
2313,beef,whole milk,frozen vegetables,sweet spreads,candy,dish cleaner,dental care,photo/film,
2314,other vegetables,,,,,,,,
2315,whole milk,yogurt,rolls/buns,bottled water,,,,,
2316,frankfurter,citrus fruit,tropical fruit,other vegetables,whole milk,candles,,,
2317,yogurt,rolls/buns,pastry,soda,,,,,
2318,canned beer,,,,,,,,
2319,canned beer,,,,,,,,
2320,other vegetables,yogurt,whipped/sour cream,newspapers,,,,,
2321,frankfurter,sausage,other vegetables,brown bread,flour,bottled water,candy,,
2322,canned beer,,,,,,,,
2323,pork,herbs,other vegetables,processed cheese,cake bar,,,,
2324,frankfurter,whole milk,yogurt,processed cheese,ice cream,frozen dessert,rolls/buns,white bread,brown bread
2325,chocolate,specialty bar,,,,,,,
2326,citrus fruit,tropical fruit,fruit/vegetable juice,,,,,,
2327,specialty fat,sugar,cat food,,,,,,
2328,spread cheese,rolls/buns,brown bread,soda,,,,,
2329,whole milk,beverages,bottled water,cake bar,newspapers,,,,
2330,whole milk,pastry,,,,,,,
2331,whole milk,pastry,,,,,,,
2332,hygiene articles,,,,,,,,
2333,beef,citrus fruit,root vegetables,whole milk,rolls/buns,pastry,coffee,seasonal products,
2334,meat,beef,root vegetables,butter,flour,fruit/vegetable juice,whisky,white wine,napkins
2335,beef,other vegetables,whole milk,rolls/buns,,,,,
2336,pip fruit,whole milk,yogurt,,,,,,
2337,other vegetables,rolls/buns,,,,,,,
2338,hamburger meat,yogurt,rolls/buns,artif. sweetener,sauces,dish cleaner,dishes,,
2339,rolls/buns,specialty chocolate,,,,,,,
2340,instant coffee,,,,,,,,
2341,canned beer,,,,,,,,
2342,pork,rolls/buns,soda,,,,,,
2343,pork,beverages,flour,margarine,bottled beer,,,,
2344,tropical fruit,berries,root vegetables,whole milk,yogurt,cream cheese ,rolls/buns,bottled water,soda
2345,whole milk,cat food,bottled water,napkins,,,,,
2346,frankfurter,meat,berries,root vegetables,butter,whipped/sour cream,frozen vegetables,domestic eggs,rolls/buns
2347,beverages,processed cheese,,,,,,,
2348,pip fruit,rolls/buns,sugar,sauces,newspapers,,,,
2349,pip fruit,root vegetables,other vegetables,whole milk,yogurt,,,,
2350,frankfurter,sausage,meat,pip fruit,yogurt,rolls/buns,bottled water,soda,newspapers
2351,sausage,pip fruit,bottled water,,,,,,
2352,long life bakery product,,,,,,,,
2353,bottled water,,,,,,,,
2354,beef,root vegetables,other vegetables,whipped/sour cream,,,,,
2355,domestic eggs,dish cleaner,hygiene articles,,,,,,
2356,oil,margarine,bottled water,red/blush wine,waffles,,,,
2357,meat,tropical fruit,pip fruit,other vegetables,butter,pastry,,,
2358,processed cheese,rolls/buns,soda,,,,,,
2359,sausage,pork,spread cheese,frozen vegetables,pastry,,,,
2360,citrus fruit,curd,,,,,,,
2361,frozen vegetables,,,,,,,,
2362,sausage,rolls/buns,shopping bags,,,,,,
2363,pastry,candles,,,,,,,
2364,pork,hamburger meat,,,,,,,
2365,berries,other vegetables,whole milk,whipped/sour cream,,,,,
2366,whole milk,yogurt,whipped/sour cream,sugar,,,,,
2367,ham,rolls/buns,,,,,,,
2368,packaged fruit/vegetables,processed cheese,frozen vegetables,bottled water,fruit/vegetable juice,snack products,candy,,
2369,packaged fruit/vegetables,,,,,,,,
2370,rolls/buns,canned beer,,,,,,,
2371,whole milk,butter milk,domestic eggs,,,,,,
